Series,Name,Size,Photo,Features,Tolerances,Temperature Coefficient,Power per Resistor,Resistance Range,MDS,Design Files,Engineering,Buy Now,Datasheet Link,Product Link
CHP-Q,CHP0805-Q,805,https://www.bourns.com/images/products/resistive-products/chp-q_part.jpg?sfvrsn=d7825ef6_1,Ultra-high PowerSulfur-resistantAEC-Q200 Compliant,"1%, 5%",±100 ppm±200 ppm,0.5 W,10 Ω to 1 MΩ,https://www.bourns.com/docs/product-mds/chp0805-q_mds.pdf?sfvrsn=12835ef6_2,https://www.bourns.com/resources/design-tools/engineering-files-list?folder=CHP-Q,https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=CHP0805&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0,https://www.bourns.com/inventory-search-results?PARTS=CHP0805,https://www.bourns.com/docs/product-datasheets/chp-q.pdf?sfvrsn=cd805ef6_3,https://www.bourns.com/products/resistors/thick-film-chip-resistors/product/CHP0805-Q
CHP-Q,CHP1206-Q,1206,https://www.bourns.com/images/products/resistive-products/chp-q_part.jpg?sfvrsn=d7825ef6_1,Ultra-high PowerSulfur-resistantAEC-Q200 Compliant,"1%, 5%",±100 ppm±200 ppm,0.75 W,10 Ω to 1 MΩ,https://www.bourns.com/docs/product-mds/chp1206-q_mds.pdf?sfvrsn=51835ef6_2,https://www.bourns.com/resources/design-tools/engineering-files-list?folder=CHP-Q,https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=CHP1206&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0,https://www.bourns.com/inventory-search-results?PARTS=CHP1206,https://www.bourns.com/docs/product-datasheets/chp-q.pdf?sfvrsn=cd805ef6_3,https://www.bourns.com/products/resistors/thick-film-chip-resistors/product/CHP1206-Q
CHV,CHV0603,0603,https://www.bourns.com/images/products/resistive-products/chip-resistor-chv-series_part.jpg?sfvrsn=9ad09cf1_4,High Voltage,1 %5 %,±100 ppm±200 ppm,0.1,100 kΩ to 22 MΩ,https://www.bourns.com/docs/Product-MDS/chv-series.pdf?sfvrsn=e37897f1_0,https://www.bourns.com/resources/design-tools/engineering-files-list?folder=CHV,https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=CHV0603&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0,https://www.bourns.com/inventory-search-results?PARTS=CHV0603,https://www.bourns.com/docs/product-datasheets/chv.pdf?sfvrsn=adcf1bf9_29,https://www.bourns.com/products/resistors/thick-film-chip-resistors/product/CHV0603
CHV,CHV0805,0805,https://www.bourns.com/images/products/resistive-products/chip-resistor-chv-series_part.jpg?sfvrsn=9ad09cf1_4,High Voltage,1 %5 %,±100 ppm±200 ppm,0.125,100 kΩ to 22 MΩ,https://www.bourns.com/docs/Product-MDS/chv-series.pdf?sfvrsn=e37897f1_0,https://www.bourns.com/resources/design-tools/engineering-files-list?folder=CHV,https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=CHV0805&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0,https://www.bourns.com/inventory-search-results?PARTS=CHV0805,https://www.bourns.com/docs/product-datasheets/chv.pdf?sfvrsn=adcf1bf9_29,https://www.bourns.com/products/resistors/thick-film-chip-resistors/product/CHV0805
CHV,CHV1206,1206,https://www.bourns.com/images/products/resistive-products/chip-resistor-chv-series_part.jpg?sfvrsn=9ad09cf1_4,High Voltage,1 %5 %,±100 ppm±200 ppm,0.25,100 kΩ to 100 MΩ,https://www.bourns.com/docs/Product-MDS/chv-series.pdf?sfvrsn=e37897f1_0,https://www.bourns.com/resources/design-tools/engineering-files-list?folder=CHV,https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=CHV1206&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0,https://www.bourns.com/inventory-search-results?PARTS=CHV1206,https://www.bourns.com/docs/product-datasheets/chv.pdf?sfvrsn=adcf1bf9_29,https://www.bourns.com/products/resistors/thick-film-chip-resistors/product/CHV1206
CHV,CHV2010,2010,https://www.bourns.com/images/products/resistive-products/chip-resistor-chv-series_part.jpg?sfvrsn=9ad09cf1_4,High Voltage,1 %5 %,±100 ppm±200 ppm,0.5,100 kΩ to 100 MΩ,https://www.bourns.com/docs/Product-MDS/chv-series.pdf?sfvrsn=e37897f1_0,https://www.bourns.com/resources/design-tools/engineering-files-list?folder=CHV,https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=CHV2010&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0,https://www.bourns.com/inventory-search-results?PARTS=CHV2010,https://www.bourns.com/docs/product-datasheets/chv.pdf?sfvrsn=adcf1bf9_29,https://www.bourns.com/products/resistors/thick-film-chip-resistors/product/CHV2010
CHV,CHV2512,2512,https://www.bourns.com/images/products/resistive-products/chip-resistor-chv-series_part.jpg?sfvrsn=9ad09cf1_4,High Voltage,1 %5 %,±100 ppm±200 ppm,1,100 kΩ to 100 MΩ,https://www.bourns.com/docs/product-mds/chv_mds.pdf?sfvrsn=74a57ab3_2,https://www.bourns.com/resources/design-tools/engineering-files-list?folder=CHV,https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=CHV2512&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0,https://www.bourns.com/inventory-search-results?PARTS=CHV2512,https://www.bourns.com/docs/product-datasheets/chv.pdf?sfvrsn=adcf1bf9_29,https://www.bourns.com/products/resistors/thick-film-chip-resistors/product/CHV2512
CHV-A,CHV0603-A,0603,https://www.bourns.com/images/products/resistive-products/chva_part.jpg?sfvrsn=ab024bf6_2,High Voltage,1 %5 %,±100 ppm±200 ppm,0.1,100 kΩ to 22 MΩ,https://www.bourns.com/docs/product-mds/chv0603-a_mds.pdf?sfvrsn=77054bf6_4,https://www.bourns.com/resources/design-tools/engineering-files-list?folder=CHV-A,https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=CHV0603-A&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0,https://www.bourns.com/inventory-search-results?PARTS=CHV0603-A,https://www.bourns.com/docs/product-datasheets/chv-a.pdf?sfvrsn=8d024bf6_10,https://www.bourns.com/products/resistors/thick-film-chip-resistors/product/CHV0603-A
CHV-A,CHV0805-A,0805,https://www.bourns.com/images/products/resistive-products/chva_part.jpg?sfvrsn=ab024bf6_2,High Voltage,1 %5 %,±100 ppm±200 ppm,0.125,100 kΩ to 22 MΩ,https://www.bourns.com/docs/product-mds/chv0805-a_mds.pdf?sfvrsn=5e054bf6_4,https://www.bourns.com/resources/design-tools/engineering-files-list?folder=CHV-A,https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=CHV0805-A&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0,https://www.bourns.com/inventory-search-results?PARTS=CHV0805-A,https://www.bourns.com/docs/product-datasheets/chv-a.pdf?sfvrsn=8d024bf6_10,https://www.bourns.com/products/resistors/thick-film-chip-resistors/product/CHV0805-A
CHV-A,CHV1206-A,1206,https://www.bourns.com/images/products/resistive-products/chva_part.jpg?sfvrsn=ab024bf6_2,High Voltage,1 %5 %,±100 ppm±200 ppm,0.25,100 kΩ to 100 MΩ,https://www.bourns.com/docs/product-mds/chv1206-a_mds.pdf?sfvrsn=2a054bf6_4,https://www.bourns.com/resources/design-tools/engineering-files-list?folder=CHV-A,https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=CHV1206-A&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0,https://www.bourns.com/inventory-search-results?PARTS=CHV1206-A,https://www.bourns.com/docs/product-datasheets/chv-a.pdf?sfvrsn=8d024bf6_10,https://www.bourns.com/products/resistors/thick-film-chip-resistors/product/CHV1206-A
CHV-A,CHV2010-A,2010,https://www.bourns.com/images/products/resistive-products/chva_part.jpg?sfvrsn=ab024bf6_2,High Voltage,1 %5 %,±100 ppm±200 ppm,0.5,100 kΩ to 100 MΩ,https://www.bourns.com/docs/product-mds/chv2010-a_mds.pdf?sfvrsn=72054bf6_4,https://www.bourns.com/resources/design-tools/engineering-files-list?folder=CHV-A,https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=CHV2010-A&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0,https://www.bourns.com/inventory-search-results?PARTS=CHV2010-A,https://www.bourns.com/docs/product-datasheets/chv-a.pdf?sfvrsn=8d024bf6_10,https://www.bourns.com/products/resistors/thick-film-chip-resistors/product/CHV2010-A
CHV-A,CHV2512-A,2512,https://www.bourns.com/images/products/resistive-products/chva_part.jpg?sfvrsn=ab024bf6_2,High Voltage,1 %5 %,±100 ppm±200 ppm,1,100 kΩ to 100 MΩ,https://www.bourns.com/docs/product-mds/chv2512-a_mds.pdf?sfvrsn=54054bf6_4,https://www.bourns.com/resources/design-tools/engineering-files-list?folder=CHV-A,https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=CHV2512-A&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0,https://www.bourns.com/inventory-search-results?PARTS=CHV2512-A,https://www.bourns.com/docs/product-datasheets/chv-a.pdf?sfvrsn=8d024bf6_10,https://www.bourns.com/products/resistors/thick-film-chip-resistors/product/CHV2512-A
CHV-ST,CHV0603-ST,0603,https://www.bourns.com/images/products/resistive-products/chva_part.jpg?sfvrsn=ab024bf6_2,High Voltage,1 %5 %,±100 ppm±200 ppm,0.1,100 kΩ to 22 MΩ,https://www.bourns.com/docs/product-mds/chv0603-st_mds.pdf?sfvrsn=2f054bf6_4,https://www.bourns.com/resources/design-tools/engineering-files-list?folder=CHV-ST,https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=CHV0603-ST&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0,https://www.bourns.com/inventory-search-results?PARTS=CHV0603-ST,https://www.bourns.com/docs/product-datasheets/chv-st.pdf?sfvrsn=88024bf6_4,https://www.bourns.com/products/resistors/thick-film-chip-resistors/product/CHV0603-ST
CHV-ST,CHV0805-ST,0805,https://www.bourns.com/images/products/resistive-products/chva_part.jpg?sfvrsn=ab024bf6_2,High Voltage,1 %5 %,±100 ppm±200 ppm,0.125,100 kΩ to 22 MΩ,https://www.bourns.com/docs/product-mds/chv0805-st_mds.pdf?sfvrsn=59054bf6_4,https://www.bourns.com/resources/design-tools/engineering-files-list?folder=CHV-ST,https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=CHV0805-ST&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0,https://www.bourns.com/inventory-search-results?PARTS=CHV0805-ST,https://www.bourns.com/docs/product-datasheets/chv-st.pdf?sfvrsn=88024bf6_4,https://www.bourns.com/products/resistors/thick-film-chip-resistors/product/CHV0805-ST
CHV-ST,CHV1206-ST,1206,https://www.bourns.com/images/products/resistive-products/chva_part.jpg?sfvrsn=ab024bf6_2,High Voltage,1 %5 %,±100 ppm±200 ppm,0.25,100 kΩ to 100 MΩ,https://www.bourns.com/docs/product-mds/chv1206-st_mds.pdf?sfvrsn=4d054bf6_4,https://www.bourns.com/resources/design-tools/engineering-files-list?folder=CHV-ST,https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=CHV1206-ST&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0,https://www.bourns.com/inventory-search-results?PARTS=CHV1206-ST,https://www.bourns.com/docs/product-datasheets/chv-st.pdf?sfvrsn=88024bf6_4,https://www.bourns.com/products/resistors/thick-film-chip-resistors/product/CHV1206-ST
CHV-ST,CHV2010-ST,2010,https://www.bourns.com/images/products/resistive-products/chva_part.jpg?sfvrsn=ab024bf6_2,High Voltage,1 %5 %,±100 ppm±200 ppm,0.5,100 kΩ to 100 MΩ,https://www.bourns.com/docs/product-mds/chv2010-st_mds.pdf?sfvrsn=48054bf6_4,https://www.bourns.com/resources/design-tools/engineering-files-list?folder=CHV-ST,https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=CHV2010-ST&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0,https://www.bourns.com/inventory-search-results?PARTS=CHV2010-ST,https://www.bourns.com/docs/product-datasheets/chv-st.pdf?sfvrsn=88024bf6_4,https://www.bourns.com/products/resistors/thick-film-chip-resistors/product/CHV2010-ST
CHV-ST,CHV2512-ST,2512,https://www.bourns.com/images/products/resistive-products/chva_part.jpg?sfvrsn=ab024bf6_2,High Voltage,1 %5 %,±100 ppm±200 ppm,1,100 kΩ to 100 MΩ,https://www.bourns.com/docs/product-mds/chv2512-st_mds.pdf?sfvrsn=43054bf6_4,https://www.bourns.com/resources/design-tools/engineering-files-list?folder=CHV-ST,https://bourns.componentsearchengine.com/entry_u_newDesign.php?mna=Bourns&mpn=CHV2512-ST&pna=Bourns&vrq=1&fmt=zip&o3=0&logo=&lang=en-US&epm=0,https://www.bourns.com/inventory-search-results?PARTS=CHV2512-ST,https://www.bourns.com/docs/product-datasheets/chv-st.pdf?sfvrsn=88024bf6_4,https://www.bourns.com/products/resistors/thick-film-chip-resistors/product/CHV2512-ST
