Model,Category,Part Number
Axial - TH - Fusible,Fixed Resistors - Wirewound,FW50A27R0JA
Axial - TH - Fusible,Fixed Resistors - Wirewound,FW50A30R0JA
Axial - TH - Fusible,Fixed Resistors - Wirewound,FW50A33R0JA
Axial - TH - Fusible,Fixed Resistors - Wirewound,FW50A36R0JA
Axial - TH - Fusible,Fixed Resistors - Wirewound,FW50A39R0JA
Axial - TH - Fusible,Fixed Resistors - Wirewound,FW50A43R0JA
Axial - TH - Fusible,Fixed Resistors - Wirewound,FW50A47R0JA
Axial - TH - Fusible,Fixed Resistors - Wirewound,FW50A51R0JA
Axial - TH - Fusible,Fixed Resistors - Wirewound,FW50A56R0JA
Axial - TH - Fusible,Fixed Resistors - Wirewound,FW50A62R0JA
Axial - TH - Fusible,Fixed Resistors - Wirewound,FW50A68R0JA
Axial - TH - Fusible,Fixed Resistors - Wirewound,FW50A75R0JA
Axial - TH - Fusible,Fixed Resistors - Wirewound,FW50A82R0JA
Axial - TH - Fusible,Fixed Resistors - Wirewound,FW50A91R0JA
Axial - TH - Fusible,Fixed Resistors - Wirewound,FW70A1000JA
Axial - TH - Fusible,Fixed Resistors - Wirewound,FW70A10R0JA
Axial - TH - Fusible,Fixed Resistors - Wirewound,FW70A11R0JA
Axial - TH - Fusible,Fixed Resistors - Wirewound,FW70A12R0JA
Axial - TH - Fusible,Fixed Resistors - Wirewound,FW70A13R0JA
Axial - TH - Fusible,Fixed Resistors - Wirewound,FW70A15R0JA
Axial - TH - Fusible,Fixed Resistors - Wirewound,FW70A16R0JA
Axial - TH - Fusible,Fixed Resistors - Wirewound,FW70A18R0JA
Axial - TH - Fusible,Fixed Resistors - Wirewound,FW70A20R0JA
Axial - TH - Fusible,Fixed Resistors - Wirewound,FW70A22R0JA
Axial - TH - Fusible,Fixed Resistors - Wirewound,FW70A24R0JA
Axial - TH - Fusible,Fixed Resistors - Wirewound,FW70A27R0JA
Axial - TH - Fusible,Fixed Resistors - Wirewound,FW70A30R0JA
Axial - TH - Fusible,Fixed Resistors - Wirewound,FW70A33R0JA
Axial - TH - Fusible,Fixed Resistors - Wirewound,FW70A36R0JA
Axial - TH - Fusible,Fixed Resistors - Wirewound,FW70A39R0JA
Axial - TH - Fusible,Fixed Resistors - Wirewound,FW70A43R0JA
Axial - TH - Fusible,Fixed Resistors - Wirewound,FW70A47R0JA
Axial - TH - Fusible,Fixed Resistors - Wirewound,FW70A51R0JA
Axial - TH - Fusible,Fixed Resistors - Wirewound,FW70A56R0JA
Axial - TH - Fusible,Fixed Resistors - Wirewound,FW70A62R0JA
Axial - TH - Fusible,Fixed Resistors - Wirewound,FW70A68R0JA
Axial - TH - Fusible,Fixed Resistors - Wirewound,FW70A75R0JA
Axial - TH - Fusible,Fixed Resistors - Wirewound,FW70A82R0JA
Axial - TH - Fusible,Fixed Resistors - Wirewound,FW70A91R0JA
SMD - Molded,Fixed Resistors - Wirewound,PWR2010N1000F
SMD - Molded,Fixed Resistors - Wirewound,PWR2010N1000FE
SMD - Molded,Fixed Resistors - Wirewound,PWR2010N1000J
SMD - Molded,Fixed Resistors - Wirewound,PWR2010N1000JE
SMD - Molded,Fixed Resistors - Wirewound,PWR2010N10R0F
SMD - Molded,Fixed Resistors - Wirewound,PWR2010N10R0FE
SMD - Molded,Fixed Resistors - Wirewound,PWR2010N10R0J
SMD - Molded,Fixed Resistors - Wirewound,PWR2010N10R0JE
SMD - Molded,Fixed Resistors - Wirewound,PWR2010N1100F
SMD - Molded,Fixed Resistors - Wirewound,PWR2010N1100FE
SMD - Molded,Fixed Resistors - Wirewound,PWR2010N1100J
SMD - Molded,Fixed Resistors - Wirewound,PWR2010N1100JE
SMD - Molded,Fixed Resistors - Wirewound,PWR2010N11R0F
SMD - Molded,Fixed Resistors - Wirewound,PWR2010N11R0FE
SMD - Molded,Fixed Resistors - Wirewound,PWR2010N11R0J
SMD - Molded,Fixed Resistors - Wirewound,PWR2010N11R0JE
SMD - Molded,Fixed Resistors - Wirewound,PWR2010N1200F
SMD - Molded,Fixed Resistors - Wirewound,PWR2010N1200FE
SMD - Molded,Fixed Resistors - Wirewound,PWR2010N1200J
SMD - Molded,Fixed Resistors - Wirewound,PWR2010N1200JE
SMD - Molded,Fixed Resistors - Wirewound,PWR2010N12R0F
SMD - Molded,Fixed Resistors - Wirewound,PWR2010N12R0FE
SMD - Molded,Fixed Resistors - Wirewound,PWR2010N12R0J
SMD - Molded,Fixed Resistors - Wirewound,PWR2010N12R0JE
SMD - Molded,Fixed Resistors - Wirewound,PWR2010N1300F
SMD - Molded,Fixed Resistors - Wirewound,PWR2010N1300FE
SMD - Molded,Fixed Resistors - Wirewound,PWR2010N1300J
SMD - Molded,Fixed Resistors - Wirewound,PWR2010N1300JE
SMD - Molded,Fixed Resistors - Wirewound,PWR2010N13R0F
SMD - Molded,Fixed Resistors - Wirewound,PWR2010N13R0FE
SMD - Molded,Fixed Resistors - Wirewound,PWR2010N13R0J
SMD - Molded,Fixed Resistors - Wirewound,PWR2010N13R0JE
SMD - Molded,Fixed Resistors - Wirewound,PWR2010N1500F
SMD - Molded,Fixed Resistors - Wirewound,PWR2010N1500FE
SMD - Molded,Fixed Resistors - Wirewound,PWR2010N1500J
SMD - Molded,Fixed Resistors - Wirewound,PWR2010N1500JE
SMD - Molded,Fixed Resistors - Wirewound,PWR2010N15R0F
SMD - Molded,Fixed Resistors - Wirewound,PWR2010N15R0FE
SMD - Molded,Fixed Resistors - Wirewound,PWR2010N15R0J
SMD - Molded,Fixed Resistors - Wirewound,PWR2010N15R0JE
SMD - Molded,Fixed Resistors - Wirewound,PWR2010N1600F
SMD - Molded,Fixed Resistors - Wirewound,PWR2010N1600FE
SMD - Molded,Fixed Resistors - Wirewound,PWR2010N1600J
SMD - Molded,Fixed Resistors - Wirewound,PWR2010N1600JE
SMD - Molded,Fixed Resistors - Wirewound,PWR2010N16R0F
SMD - Molded,Fixed Resistors - Wirewound,PWR2010N16R0FE
SMD - Molded,Fixed Resistors - Wirewound,PWR2010N16R0J
SMD - Molded,Fixed Resistors - Wirewound,PWR2010N16R0JE
SMD - Molded,Fixed Resistors - Wirewound,PWR2010N1800F
SMD - Molded,Fixed Resistors - Wirewound,PWR2010N1800FE
SMD - Molded,Fixed Resistors - Wirewound,PWR2010N1800J
SMD - Molded,Fixed Resistors - Wirewound,PWR2010N1800JE
SMD - Molded,Fixed Resistors - Wirewound,PWR2010N18R0F
SMD - Molded,Fixed Resistors - Wirewound,PWR2010N18R0FE
SMD - Molded,Fixed Resistors - Wirewound,PWR2010N18R0J
SMD - Molded,Fixed Resistors - Wirewound,PWR2010N18R0JE
SMD - Molded,Fixed Resistors - Wirewound,PWR2010N1R00F
SMD - Molded,Fixed Resistors - Wirewound,PWR2010N1R00FE
SMD - Molded,Fixed Resistors - Wirewound,PWR2010N1R00J
SMD - Molded,Fixed Resistors - Wirewound,PWR2010N1R00JE
SMD - Molded,Fixed Resistors - Wirewound,PWR2010N1R10F
SMD - Molded,Fixed Resistors - Wirewound,PWR2010N1R10FE
SMD - Molded,Fixed Resistors - Wirewound,PWR2010N1R10J
SMD - Molded,Fixed Resistors - Wirewound,PWR2010N1R10JE
SMD - Molded,Fixed Resistors - Wirewound,PWR2010N1R20F
SMD - Molded,Fixed Resistors - Wirewound,PWR2010N1R20FE
SMD - Molded,Fixed Resistors - Wirewound,PWR2010N1R20J
SMD - Molded,Fixed Resistors - Wirewound,PWR2010N1R20JE
SMD - Molded,Fixed Resistors - Wirewound,PWR2010N1R30F
SMD - Molded,Fixed Resistors - Wirewound,PWR2010N1R30FE
SMD - Molded,Fixed Resistors - Wirewound,PWR2010N1R30J
SMD - Molded,Fixed Resistors - Wirewound,PWR2010N1R30JE
SMD - Molded,Fixed Resistors - Wirewound,PWR2010N1R50F
SMD - Molded,Fixed Resistors - Wirewound,PWR2010N1R50FE
SMD - Molded,Fixed Resistors - Wirewound,PWR2010N1R50J
SMD - Molded,Fixed Resistors - Wirewound,PWR2010N1R50JE
SMD - Molded,Fixed Resistors - Wirewound,PWR2010N1R60F
SMD - Molded,Fixed Resistors - Wirewound,PWR2010N1R60FE
SMD - Molded,Fixed Resistors - Wirewound,PWR2010N1R60J
SMD - Molded,Fixed Resistors - Wirewound,PWR2010N1R60JE
SMD - Molded,Fixed Resistors - Wirewound,PWR2010N1R80F
SMD - Molded,Fixed Resistors - Wirewound,PWR2010N1R80FE
SMD - Molded,Fixed Resistors - Wirewound,PWR2010N1R80J
SMD - Molded,Fixed Resistors - Wirewound,PWR2010N1R80JE
SMD - Molded,Fixed Resistors - Wirewound,PWR2010N2000F
SMD - Molded,Fixed Resistors - Wirewound,PWR2010N2000FE
SMD - Molded,Fixed Resistors - Wirewound,PWR2010N2000J
SMD - Molded,Fixed Resistors - Wirewound,PWR2010N2000JE
SMD - Molded,Fixed Resistors - Wirewound,PWR2010N20R0F
SMD - Molded,Fixed Resistors - Wirewound,PWR2010N20R0FE
SMD - Molded,Fixed Resistors - Wirewound,PWR2010N20R0J
SMD - Molded,Fixed Resistors - Wirewound,PWR2010N20R0JE
SMD - Molded,Fixed Resistors - Wirewound,PWR2010N22R0F
SMD - Molded,Fixed Resistors - Wirewound,PWR2010N22R0FE
SMD - Molded,Fixed Resistors - Wirewound,PWR2010N22R0J
SMD - Molded,Fixed Resistors - Wirewound,PWR2010N22R0JE
SMD - Molded,Fixed Resistors - Wirewound,PWR2010N24R0F
SMD - Molded,Fixed Resistors - Wirewound,PWR2010N24R0FE
SMD - Molded,Fixed Resistors - Wirewound,PWR2010N24R0J
SMD - Molded,Fixed Resistors - Wirewound,PWR2010N24R0JE
SMD - Molded,Fixed Resistors - Wirewound,PWR2010N27R0F
